manga_id|title|cover|chapters
1|Genius Archer’s Streaming|https://gg.asuracomic.net/storage/media/225/conversions/68b6a264-thumb-small.webp|["Chapter1", "Chapter2", "Chapter3", "Chapter4", "Chapter5", "Chapter6", "Chapter7", "Chapter8", "Chapter9", "Chapter10", "Chapter11", "Chapter12", "Chapter13", "Chapter14", "Chapter15", "Chapter16", "Chapter17", "Chapter18", "Chapter19", "Chapter20"]
2|Margrave’s Bastard Son was The Emperor|https://gg.asuracomic.net/storage/media/254/conversions/01J3BAWZ5QEY8N7QFYGET96HRE-thumb-small.webp|["Chapter1", "Chapter2", "Chapter3", "Chapter4", "Chapter5", "Chapter6", "Chapter7", "Chapter8", "Chapter9", "Chapter10", "Chapter11", "Chapter12", "Chapter13", "Chapter14", "Chapter15", "Chapter16", "Chapter17", "Chapter18", "Chapter19", "Chapter20"]
3|Genius of the Unique Lineage|https://gg.asuracomic.net/storage/media/66/conversions/25b0739f-thumb-small.webp|["Chapter0", "Chapter1", "Chapter2", "Chapter3", "Chapter4", "Chapter5", "Chapter6", "Chapter7", "Chapter8", "Chapter9String of Tension", "Chapter10", "Chapter11", "Chapter12", "Chapter13", "Chapter14", "Chapter15", "Chapter16", "Chapter17", "Chapter18", "Chapter19"]
4|Genius Martial Arts Trainer|https://gg.asuracomic.net/storage/media/226/conversions/8786309e-thumb-small.webp|["Chapter1", "Chapter2", "Chapter3", "Chapter4", "Chapter5", "Chapter6", "Chapter7", "Chapter8", "Chapter9", "Chapter10", "Chapter11", "Chapter12", "Chapter13", "Chapter14", "Chapter15", "Chapter16", "Chapter17", "Chapter18", "Chapter19", "Chapter20"]
5|Heavenly Grand Archive's Young Master|https://gg.asuracomic.net/storage/media/192/conversions/d0cea7ad-thumb-small.webp|["Chapter1", "Chapter2", "Chapter3", "Chapter4", "Chapter5", "Chapter6", "Chapter7", "Chapter8", "Chapter9", "Chapter10", "Chapter11", "Chapter12", "Chapter13", "Chapter14", "Chapter15", "Chapter16", "Chapter17", "Chapter18", "Chapter19", "Chapter20"]
6|Trait Hoarder|https://gg.asuracomic.net/storage/media/315575/conversions/01JVYJ8RFW1RX39QRSTAX54PRJ-thumb-small.webp|["Chapter1", "Chapter2", "Chapter3", "Chapter4", "Chapter5", "Chapter6", "Chapter7", "Chapter8", "Chapter9", "Chapter10", "Chapter11", "Chapter12", "Chapter13", "Chapter14", "Chapter15", "Chapter16", "Chapter17", "Chapter18", "Chapter19", "Chapter20"]
7|I Killed an Academy Player|https://gg.asuracomic.net/storage/media/336914/conversions/01JZV1C6AK5K04WV7VJHV0C0AR-thumb-small.webp|["Chapter1", "Chapter2", "Chapter3", "Chapter4", "Chapter5", "Chapter6", "Chapter7", "Chapter8", "Chapter9", "Chapter10", "Chapter11", "Chapter12", "Chapter13", "Chapter14", "Chapter15", "Chapter16", "Chapter17", "Chapter18", "Chapter19", "Chapter20"]
8|Rebirth of the Divine Demon|https://gg.asuracomic.net/storage/media/363063/conversions/01K60PP4916H99BDB0EGXPHQQW-thumb-small.webp|["Chapter1", "Chapter2", "Chapter3", "Chapter4", "Chapter5", "Chapter6", "Chapter7", "Chapter8", "Chapter9", "New ChapterChapter10"]
9|Star Instructor, Master Baek|https://gg.asuracomic.net/storage/media/131/conversions/5357f1a1-thumb-small.webp|["Chapter1", "Chapter2", "Chapter3", "Chapter4", "Chapter5", "Chapter6", "Chapter7", "Chapter8", "Chapter9", "Chapter10", "Chapter11", "Chapter12", "Chapter13", "Chapter14", "Chapter15", "Chapter16", "Chapter17", "Chapter18", "Chapter19", "Chapter20"]
10|Doctor’s Rebirth|https://gg.asuracomic.net/storage/media/171/conversions/28bb0778-thumb-small.webp|["Chapter1", "Chapter2", "Chapter3", "Chapter4", "Chapter5", "Chapter6", "Chapter7", "Chapter8", "Chapter9", "Chapter10", "Chapter11", "Chapter12", "Chapter13", "Chapter14", "Chapter15", "Chapter16", "Chapter17", "Chapter18", "Chapter19", "Chapter20"]
